도,시군,품목,작기,농가명,날짜,평균 : 온도_외부,최대 : 일일누적일사량,최대 : 강우감지,평균 : 온도_내부,평균 : 상대습도_내부,평균 : 잔존CO2,평균 : 토양온도,합계 : 결측치-일사량추정
강원,춘천,완숙토마토,1,5,2019-03-01,5.29 ,1710 ,0,17.93 ,74.00 ,615.96 ,20.37 ,
강원,춘천,완숙토마토,1,5,2019-03-02,5.70 ,1749 ,0,17.52 ,71.89 ,568.33 ,20.56 ,
강원,춘천,완숙토마토,1,5,2019-03-03,6.94 ,1709 ,0,18.17 ,73.65 ,531.83 ,20.80 ,
강원,춘천,완숙토마토,1,5,2019-03-04,9.31 ,1781 ,0,18.59 ,72.93 ,467.21 ,21.60 ,
강원,춘천,완숙토마토,1,5,2019-03-05,6.63 ,936 ,0,15.32 ,84.39 ,519.54 ,19.53 ,
강원,춘천,완숙토마토,1,5,2019-03-06,7.36 ,1014 ,0,16.07 ,86.29 ,511.21 ,18.93 ,
강원,춘천,완숙토마토,1,5,2019-03-07,8.35 ,1574 ,1,17.48 ,80.24 ,464.54 ,19.96 ,
강원,춘천,완숙토마토,1,5,2019-03-08,5.61 ,1937 ,0,17.93 ,73.56 ,539.75 ,21.30 ,
강원,춘천,완숙토마토,1,5,2019-03-09,5.35 ,1556 ,0,16.15 ,74.36 ,563.92 ,20.48 ,
강원,춘천,완숙토마토,1,5,2019-03-10,7.93 ,1091 ,0,15.80 ,86.44 ,545.00 ,19.45 ,
강원,춘천,완숙토마토,1,5,2019-03-11,5.84 ,1355 ,0,15.13 ,84.96 ,503.04 ,18.94 ,
강원,춘천,완숙토마토,1,5,2019-03-12,3.69 ,459 ,1,12.07 ,97.75 ,507.92 ,17.63 ,
강원,춘천,완숙토마토,1,5,2019-03-13,2.48 ,1925 ,0,15.19 ,74.10 ,513.92 ,18.90 ,
강원,춘천,완숙토마토,1,5,2019-03-14,2.38 ,1523 ,1,15.05 ,80.92 ,570.38 ,19.18 ,
강원,춘천,완숙토마토,1,5,2019-03-15,3.83 ,1023 ,1,15.03 ,89.90 ,589.58 ,18.65 ,
강원,춘천,완숙토마토,1,5,2019-03-16,4.63 ,1050 ,0,15.63 ,93.96 ,558.42 ,18.68 ,
강원,춘천,완숙토마토,1,5,2019-03-17,5.08 ,2074 ,0,18.04 ,81.23 ,564.29 ,21.11 ,
강원,춘천,완숙토마토,1,5,2019-03-18,6.62 ,1807 ,0,17.99 ,83.13 ,573.38 ,21.41 ,
강원,춘천,완숙토마토,1,5,2019-03-19,9.66 ,1896 ,0,19.36 ,82.87 ,547.08 ,21.74 ,
강원,춘천,완숙토마토,1,5,2019-03-20,9.29 ,711 ,1,16.09 ,95.82 ,549.71 ,19.66 ,
강원,춘천,완숙토마토,1,5,2019-03-21,8.74 ,433 ,1,14.65 ,98.28 ,514.46 ,17.93 ,
강원,춘천,완숙토마토,1,5,2019-03-22,4.94 ,1834 ,0,16.86 ,85.69 ,532.75 ,19.55 ,
강원,춘천,완숙토마토,1,5,2019-03-23,2.43 ,1335 ,1,15.55 ,89.93 ,581.29 ,18.94 ,
강원,춘천,완숙토마토,1,5,2019-03-24,3.97 ,2331 ,0,16.40 ,76.57 ,606.17 ,19.68 ,
강원,춘천,완숙토마토,1,5,2019-03-25,5.36 ,420 ,0,13.44 ,98.65 ,554.08 ,18.15 ,
강원,춘천,완숙토마토,1,5,2019-03-26,9.73 ,2214 ,0,17.84 ,80.59 ,534.88 ,19.86 ,
강원,춘천,완숙토마토,1,5,2019-03-27,11.16 ,686 ,0,15.51 ,92.33 ,557.25 ,18.52 ,
강원,춘천,완숙토마토,1,5,2019-03-28,11.81 ,2008 ,0,17.19 ,81.74 ,505.42 ,19.01 ,
강원,춘천,완숙토마토,1,5,2019-03-29,11.75 ,2261 ,1,17.83 ,80.80 ,497.54 ,19.95 ,
강원,춘천,완숙토마토,1,5,2019-03-30,6.23 ,750 ,1,14.94 ,98.08 ,520.38 ,18.66 ,
강원,춘천,완숙토마토,1,5,2019-03-31,3.81 ,509 ,1,12.70 ,99.00 ,515.79 ,17.61 ,
강원,춘천,완숙토마토,1,5,2019-04-01,3.84 ,2384 ,0,15.68 ,80.78 ,635.46 ,18.38 ,
강원,춘천,완숙토마토,1,5,2019-04-02,5.88 ,2441 ,0,17.01 ,81.22 ,607.96 ,19.35 ,
강원,춘천,완숙토마토,1,5,2019-04-03,6.94 ,2468 ,0,16.73 ,79.61 ,606.58 ,19.60 ,
강원,춘천,완숙토마토,1,5,2019-04-04,8.76 ,2381 ,0,16.89 ,81.25 ,612.38 ,19.46 ,
강원,춘천,완숙토마토,1,5,2019-04-05,12.39 ,1822 ,0,16.93 ,82.46 ,553.25 ,19.02 ,
강원,춘천,완숙토마토,1,5,2019-04-06,8.72 ,806 ,1,14.66 ,92.80 ,560.21 ,17.88 ,
강원,춘천,완숙토마토,1,5,2019-04-07,11.88 ,2169 ,0,18.40 ,86.32 ,530.58 ,19.15 ,
강원,춘천,완숙토마토,1,5,2019-04-08,11.53 ,2616 ,0,18.55 ,79.57 ,522.58 ,20.21 ,
강원,춘천,완숙토마토,1,5,2019-04-09,8.52 ,840 ,1,15.73 ,95.96 ,564.58 ,18.50 ,
강원,춘천,완숙토마토,1,5,2019-04-10,7.32 ,802 ,1,15.10 ,98.57 ,484.79 ,17.83 ,
강원,춘천,완숙토마토,1,5,2019-04-11,9.69 ,1833 ,0,17.06 ,90.24 ,538.38 ,18.29 ,
강원,춘천,완숙토마토,1,5,2019-04-12,12.40 ,2437 ,0,17.73 ,81.51 ,552.50 ,18.94 ,
강원,춘천,완숙토마토,1,5,2019-04-13,11.55 ,2591 ,0,18.47 ,83.72 ,533.79 ,19.41 ,
강원,춘천,완숙토마토,1,5,2019-04-14,7.59 ,426 ,1,13.92 ,98.22 ,600.96 ,17.93 ,
강원,춘천,완숙토마토,1,5,2019-04-15,10.35 ,2553 ,0,17.58 ,84.31 ,579.92 ,18.35 ,
강원,춘천,완숙토마토,1,5,2019-04-16,12.64 ,2427 ,0,17.35 ,81.49 ,575.04 ,18.55 ,
