도,시군,품목,작기,농가명,날짜,평균 : 온도_외부,최대 : 일일누적일사량,최대 : 강우감지,평균 : 온도_내부,평균 : 상대습도_내부,평균 : 잔존CO2,평균 : 토양온도,합계 : 결측치-일사량추정
강원,춘천,완숙토마토,1,8,2020-02-23,2.7,1605,0,18.63,79.88,522.38,20.56,1605.0
강원,춘천,완숙토마토,1,8,2020-02-24,5.97,1190,0,19.1,82.83,540.71,20.83,1190.0
강원,춘천,완숙토마토,1,8,2020-02-25,5.42,248,0,12.96,99.0,594.88,14.53,248.0
강원,춘천,완숙토마토,1,8,2020-02-26,4.84,733,0,16.38,90.5,591.25,18.01,733.0
강원,춘천,완숙토마토,1,8,2020-02-27,6.01,1592,0,19.95,81.92,547.46,21.63,1592.0
강원,춘천,완숙토마토,1,8,2020-02-28,3.03,326,0,13.88,97.54,638.63,15.42,326.0
강원,춘천,완숙토마토,1,8,2020-02-29,7.91,1176,0,18.63,87.79,543.38,20.15,1176.0
강원,춘천,완숙토마토,1,8,2020-03-01,5.58,691,0,15.93,89.17,523.38,17.68,691.0
강원,춘천,완숙토마토,1,8,2020-03-02,5.28,1326,0,17.33,80.88,468.83,19.35,1326.0
강원,춘천,완숙토마토,1,8,2020-03-03,4.98,1182,0,16.7,79.96,542.0,18.84,1182.0
강원,춘천,완숙토마토,1,8,2020-03-04,4.2,1142,0,16.61,85.54,485.83,18.47,1142.0
강원,춘천,완숙토마토,1,8,2020-03-05,2.53,1759,0,16.56,77.21,513.58,18.86,1759.0
강원,춘천,완숙토마토,1,8,2020-03-06,3.15,1621,0,16.45,73.63,538.33,18.94,1621.0
강원,춘천,완숙토마토,1,8,2020-03-07,4.94,871,0,15.39,86.17,521.71,17.35,871.0
강원,춘천,완숙토마토,1,8,2020-03-08,7.54,1808,0,17.52,76.04,519.92,19.77,1808.0
강원,춘천,완숙토마토,1,8,2020-03-09,9.47,1218,0,17.26,82.88,496.08,19.19,1218.0
강원,춘천,완숙토마토,1,8,2020-03-10,8.63,403,0,15.13,99.0,510.5,16.46,403.0
강원,춘천,완숙토마토,1,8,2020-03-11,4.43,1924,0,15.95,77.88,482.29,18.28,1924.0
강원,춘천,완숙토마토,1,8,2020-03-12,6.2,1395,0,15.67,82.13,507.96,17.81,1395.0
강원,춘천,완숙토마토,1,8,2020-03-13,8.55,1765,0,17.61,79.88,490.67,19.65,1765.0
강원,춘천,완숙토마토,1,8,2020-03-14,3.98,1904,0,17.18,79.54,520.46,19.29,1904.0
강원,춘천,완숙토마토,1,8,2020-03-15,4.02,1238,0,15.79,79.0,487.38,18.08,1238.0
강원,춘천,완숙토마토,1,8,2020-03-16,4.03,1944,0,14.38,78.75,480.29,16.84,1944.0
강원,춘천,완숙토마토,1,8,2020-03-17,3.63,255,0,12.67,99.0,592.08,14.27,255.0
강원,춘천,완숙토마토,1,8,2020-03-18,8.41,1433,0,15.4,84.67,504.92,17.44,1433.0
강원,춘천,완숙토마토,1,8,2020-03-19,6.63,631,0,14.13,92.58,489.83,15.9,631.0
강원,춘천,완숙토마토,1,8,2020-03-20,8.5,1948,0,15.91,77.0,460.92,18.29,1948.0
강원,춘천,완숙토마토,1,8,2020-03-21,12.72,1341,0,17.6,84.83,549.88,19.39,1341.0
강원,춘천,완숙토마토,1,8,2020-03-22,12.96,2085,0,18.7,76.29,553.13,20.81,2085.0
강원,춘천,완숙토마토,1,8,2020-03-23,10.02,2010,0,17.23,76.71,549.71,19.48,2010.0
강원,춘천,완숙토마토,1,8,2020-03-24,10.5,2097,0,17.63,77.38,547.33,19.8,2097.0
강원,춘천,완숙토마토,1,8,2020-03-25,11.37,1918,0,17.54,78.08,558.88,19.68,1918.0
강원,춘천,완숙토마토,1,8,2020-03-26,13.7,1435,0,18.42,83.63,631.25,20.18,1435.0
강원,춘천,완숙토마토,1,8,2020-03-27,14.03,547,0,16.92,96.33,695.75,18.19,547.0
강원,춘천,완숙토마토,1,8,2020-03-28,8.8,1986,0,16.54,79.08,522.5,18.74,1986.0
강원,춘천,완숙토마토,1,8,2020-03-29,8.3,2222,0,17.4,79.96,563.58,19.46,2222.0
강원,춘천,완숙토마토,1,8,2020-03-30,10.3,2196,0,17.44,78.29,549.17,19.58,2196.0
강원,춘천,완숙토마토,1,8,2020-03-31,11.96,2081,0,17.84,78.63,590.5,19.92,2081.0
강원,춘천,완숙토마토,1,9,2020-04-06,,,0,19.35,76.04,,21.4,
강원,춘천,완숙토마토,1,9,2020-04-07,,,0,18.41,82.33,,20.24,
강원,춘천,완숙토마토,1,9,2020-04-08,,,0,18.9,77.41,,20.93,
강원,춘천,완숙토마토,1,9,2020-04-09,,,0,19.02,81.19,,20.84,
강원,춘천,완숙토마토,1,9,2020-04-10,,,0,18.34,82.88,,20.15,
강원,춘천,완숙토마토,1,9,2020-04-11,,,0,18.45,83.11,,20.23,
강원,춘천,완숙토마토,1,9,2020-04-12,,,0,17.64,90.2,,19.15,
강원,춘천,완숙토마토,1,9,2020-04-13,,,0,19.43,78.98,,21.32,
강원,춘천,완숙토마토,1,9,2020-04-14,,,0,20.08,78.48,,21.92,
강원,춘천,완숙토마토,1,9,2020-04-15,,,0,19.96,79.32,,21.77,
강원,춘천,완숙토마토,1,9,2020-04-16,,,0,20.15,80.06,,21.9,
강원,춘천,완숙토마토,1,9,2020-04-17,,,0,16.91,95.9,,18.2,
강원,춘천,완숙토마토,1,9,2020-04-18,,,0,19.84,82.01,,21.53,
강원,춘천,완숙토마토,1,9,2020-04-19,,,0,16.83,92.01,,18.33,
강원,춘천,완숙토마토,1,9,2020-04-20,,,0,16.59,93.98,,18.02,
강원,춘천,완숙토마토,1,9,2020-04-21,,,0,18.1,82.78,,19.94,
강원,춘천,완숙토마토,1,9,2020-04-22,,,0,17.53,83.7,,19.38,
강원,춘천,완숙토마토,1,9,2020-04-23,,,0,19.33,80.07,,21.17,
강원,춘천,완숙토마토,1,9,2020-04-24,,,0,18.93,75.92,,21.03,
강원,춘천,완숙토마토,1,9,2020-04-25,,,0,18.83,83.27,,20.56,
강원,춘천,완숙토마토,1,9,2020-04-26,,,0,18.43,78.73,,20.44,
강원,춘천,완숙토마토,1,9,2020-04-27,,,0,17.76,79.7,,19.8,
강원,춘천,완숙토마토,1,9,2020-04-28,,,0,19.58,72.74,,21.77,
강원,춘천,완숙토마토,1,9,2020-04-29,,,0,19.84,74.63,,21.91,
강원,춘천,완숙토마토,1,9,2020-04-30,,,0,20.8,71.93,,22.9,
강원,춘천,완숙토마토,1,9,2020-05-01,,,0,23.16,76.16,,24.78,
