도,시군,품목,작기,농가명,날짜,평균 : 온도_외부,최대 : 일일누적일사량,최대 : 강우감지,평균 : 온도_내부,평균 : 상대습도_내부,평균 : 잔존이산화탄소(CO2),평균 : 토양온도,합계 : 결측치-일사량추정
강원,철원,완숙토마토,1,11,2022-09-04,,,0,20.77,87.93,464.42,,
강원,철원,완숙토마토,1,11,2022-09-05,,,0,20.19,94.19,958.5,,
강원,철원,완숙토마토,1,11,2022-09-06,,,0,20.28,76.83,702.13,,
강원,철원,완숙토마토,1,11,2022-09-07,,,0,20.54,70.39,498.46,,
강원,철원,완숙토마토,1,11,2022-09-08,,,0,21.38,73.01,502.13,,
강원,철원,완숙토마토,1,11,2022-09-09,,,0,20.4,72.17,505.38,,
강원,철원,완숙토마토,1,11,2022-09-10,,,0,20.12,73.46,498.5,,
강원,철원,완숙토마토,1,11,2022-09-11,,,0,20.75,84.79,482.42,,
강원,철원,완숙토마토,1,11,2022-09-12,,,0,21.53,83.26,475.58,,
강원,철원,완숙토마토,1,11,2022-09-13,,,0,21.41,84.22,490.92,,
강원,철원,완숙토마토,1,11,2022-09-14,,,0,21.33,71.82,422.83,,
강원,철원,완숙토마토,1,11,2022-09-15,,,0,22.01,76.14,414.5,,
강원,철원,완숙토마토,1,11,2022-09-16,,,0,22.96,84.91,429.21,,
강원,철원,완숙토마토,1,11,2022-09-17,,,0,23.79,89.2,471.54,,
강원,철원,완숙토마토,1,11,2022-09-18,,,0,24.2,81.98,440.46,,
강원,철원,완숙토마토,1,11,2022-09-19,,,0,21,75.75,424.54,,
강원,철원,완숙토마토,1,11,2022-09-20,,,0,17.88,73.82,496.5,,
강원,철원,완숙토마토,1,11,2022-09-21,,,0,16.93,72.87,512.92,,
강원,철원,완숙토마토,1,11,2022-09-22,,,0,17.43,77.98,520.21,,
강원,철원,완숙토마토,1,11,2022-09-23,,,0,17.65,84.28,532.67,,
강원,철원,완숙토마토,1,11,2022-09-24,,,0,17.02,78.16,517.63,,
강원,철원,완숙토마토,1,11,2022-09-25,,,0,17.47,78.64,536.67,,
강원,철원,완숙토마토,1,11,2022-09-26,,,0,17.36,77.65,557.63,,
강원,철원,완숙토마토,1,11,2022-09-27,,,0,17.72,75.48,560.75,,
강원,철원,완숙토마토,1,11,2022-09-28,,,0,12.8,89.8,661,,
강원,평창,완숙토마토,1,9,2022-07-08,,,0,25,81.88,419.2,,
강원,평창,완숙토마토,1,9,2022-07-09,,,0,26.63,81.77,424.5,,
강원,평창,완숙토마토,1,9,2022-07-10,,,0,27.35,80.09,421.4,,
강원,평창,완숙토마토,1,9,2022-07-11,,,0,25.39,88.99,414.1,,
강원,평창,완숙토마토,1,9,2022-07-12,,,0,27.36,77.24,366.4,,
강원,평창,완숙토마토,1,9,2022-07-13,,,0,23.12,91.31,431.19,,
강원,평창,완숙토마토,1,9,2022-07-14,,,0,24.48,87.66,430.67,,
강원,평창,완숙토마토,1,9,2022-07-15,,,0,23.69,80.81,417.93,,
강원,평창,완숙토마토,1,9,2022-07-16,,,0,22.31,86.37,419.53,,
강원,평창,완숙토마토,1,9,2022-07-17,,,0,23.53,84.51,410.13,,
강원,평창,완숙토마토,1,9,2022-07-18,,,0,23.96,83.32,418.94,,
강원,평창,완숙토마토,1,9,2022-07-19,,,0,25.24,80.21,422.38,,
강원,평창,완숙토마토,1,9,2022-07-20,,,0,25.2,80.86,425.25,,
강원,평창,완숙토마토,1,9,2022-07-21,,,0,22.41,90.86,401.13,,
강원,평창,완숙토마토,1,9,2022-07-22,,,0,22.91,88.11,407.07,,
강원,평창,완숙토마토,1,9,2022-07-23,,,0,23.53,83.71,436.63,,
강원,평창,완숙토마토,1,9,2022-07-24,,,0,24.57,85.47,508.6,,
강원,평창,완숙토마토,1,9,2022-07-25,,,0,26.04,78.29,441.79,,
강원,평창,완숙토마토,1,9,2022-07-26,,,0,27.45,73.38,422.38,,
강원,평창,완숙토마토,1,9,2022-07-27,,,0,25.34,75.09,418.31,,
강원,평창,완숙토마토,1,9,2022-07-28,,,0,26.16,77.21,426,,
강원,평창,완숙토마토,1,9,2022-07-29,,,0,28.69,73.28,437.56,,
강원,평창,완숙토마토,1,9,2022-07-30,,,0,25.86,81.85,454.36,,
강원,평창,완숙토마토,1,9,2022-07-31,,,0,24.93,91.03,441.06,,
강원,평창,완숙토마토,1,9,2022-08-01,,,0,25.96,88.46,408.69,,
강원,평창,완숙토마토,1,9,2022-08-02,,,0,25.83,90.02,419,,
강원,평창,완숙토마토,1,9,2022-08-03,,,0,25.03,92.79,433.47,,
강원,평창,완숙토마토,1,9,2022-08-04,,,0,27.39,80.84,431.69,,
강원,평창,완숙토마토,1,9,2022-08-05,,,0,27.41,83.57,458.08,,
강원,평창,완숙토마토,1,9,2022-08-06,,,0,27.36,84.73,533.88,,
강원,평창,완숙토마토,1,9,2022-08-07,,,0,26.99,85.83,435.63,,
강원,평창,완숙토마토,1,9,2022-08-08,,,0,24.73,93.1,421.81,,
강원,평창,완숙토마토,1,9,2022-08-09,,,0,24.67,94.26,426.75,,
강원,평창,완숙토마토,1,9,2022-08-10,,,0,24.09,91.49,426.88,,
강원,평창,완숙토마토,1,9,2022-08-11,,,0,23.61,95.57,415.75,,
강원,평창,완숙토마토,1,9,2022-08-12,,,0,27.33,76.57,430.44,,
강원,평창,완숙토마토,1,9,2022-08-13,,,0,24.02,88.59,433.57,,
강원,평창,완숙토마토,1,9,2022-08-14,,,0,26.38,85.95,436.44,,
강원,평창,완숙토마토,1,9,2022-08-15,,,0,25.46,87.19,406.5,,
강원,평창,완숙토마토,1,9,2022-08-16,,,0,26.88,74.34,411.25,,
강원,평창,완숙토마토,1,9,2022-08-17,,,0,24.62,76.21,435.4,,
강원,평창,완숙토마토,1,9,2022-08-18,,,0,25.71,70.82,425.19,,
강원,평창,완숙토마토,1,9,2022-08-19,,,0,24.16,81.21,426.31,,
강원,평창,완숙토마토,1,9,2022-08-20,,,0,27.3,77.42,429.31,,
강원,평창,완숙토마토,1,9,2022-08-21,,,0,26.61,71.71,428.38,,
강원,평창,완숙토마토,1,9,2022-08-22,,,0,25.7,76.59,437.56,,
강원,평창,완숙토마토,1,9,2022-08-23,,,0,24.18,79.76,438.13,,
강원,평창,완숙토마토,1,9,2022-08-24,,,0,22.43,72.69,420.94,,
강원,평창,완숙토마토,1,9,2022-08-25,,,0,21.47,79.38,428.69,,
강원,평창,완숙토마토,1,9,2022-08-26,,,0,22.23,71.41,430.5,,
강원,평창,완숙토마토,1,9,2022-08-27,,,0,21.76,63.54,431.63,,
강원,평창,완숙토마토,1,9,2022-08-28,,,0,21.3,63.01,431.81,,
강원,평창,완숙토마토,1,9,2022-08-29,,,0,19.99,81.42,445.44,,
강원,평창,완숙토마토,1,9,2022-08-30,,,0,19.69,87.49,453.56,,
강원,평창,완숙토마토,1,9,2022-08-31,,,0,21.11,80.69,433,,
강원,평창,완숙토마토,1,9,2022-09-01,,,0,22.26,73.27,434.75,,
강원,평창,완숙토마토,1,9,2022-09-02,,,0,20.41,70.03,445.67,,
강원,평창,완숙토마토,1,9,2022-09-03,,,0,21.04,70.27,433.75,,
강원,평창,완숙토마토,1,9,2022-09-04,,,0,21.93,85.46,435,,
강원,평창,완숙토마토,1,9,2022-09-05,,,0,22.61,91.86,448.81,,
강원,평창,완숙토마토,1,9,2022-09-06,,,0,19.98,79.36,413.88,,
강원,평창,완숙토마토,1,9,2022-09-07,,,0,19.75,69.36,445.19,,
강원,평창,완숙토마토,1,9,2022-09-08,,,0,21.53,68.44,448.31,,
강원,평창,완숙토마토,1,9,2022-09-09,,,0,20.64,64.77,458.81,,
강원,평창,완숙토마토,1,9,2022-09-10,,,0,19.46,68.76,469.69,,
강원,평창,완숙토마토,1,9,2022-09-11,,,0,21.5,76.55,462.56,,
강원,평창,완숙토마토,1,9,2022-09-12,,,0,22.26,79.9,448.63,,
강원,평창,완숙토마토,1,9,2022-09-13,,,0,22.44,80.26,452.94,,
강원,평창,완숙토마토,1,9,2022-09-14,,,0,21.74,64.89,426,,
강원,평창,완숙토마토,1,9,2022-09-15,,,0,22.34,75.74,419.81,,
강원,평창,완숙토마토,1,9,2022-09-16,,,0,21.79,83.72,440.63,,
