도,시군,품목,작기,농가명,날짜,평균 : 온도_외부,최대 : 일일누적일사량,최대 : 강우감지,평균 : 온도_내부,평균 : 상대습도_내부,평균 : 잔존이산화탄소(CO2),평균 : 토양온도,합계 : 결측치-일사량추정
강원,철원,완숙토마토,1,11,2022-09-04,,,0,20.77,87.93,464.42,20.78,
강원,철원,완숙토마토,1,11,2022-09-05,,,0,20.19,94.19,958.5,19.92,
강원,철원,완숙토마토,1,11,2022-09-06,,,0,20.28,76.83,702.13,20.86,
강원,철원,완숙토마토,1,11,2022-09-07,,,0,20.54,70.39,498.46,21.43,
강원,철원,완숙토마토,1,11,2022-09-08,,,0,21.38,73.01,502.13,22.1,
강원,철원,완숙토마토,1,11,2022-09-09,,,0,20.4,72.17,505.38,21.2,
강원,철원,완숙토마토,1,11,2022-09-10,,,0,20.12,73.46,498.5,20.87,
강원,철원,완숙토마토,1,11,2022-09-11,,,0,20.75,84.79,482.42,20.92,
강원,철원,완숙토마토,1,11,2022-09-12,,,0,21.53,83.26,475.58,21.74,
강원,철원,완숙토마토,1,11,2022-09-13,,,0,21.41,84.22,490.92,21.58,
강원,철원,완숙토마토,1,11,2022-09-14,,,0,21.33,71.82,422.83,22.11,
강원,철원,완숙토마토,1,11,2022-09-15,,,0,22.01,76.14,414.5,22.55,
강원,철원,완숙토마토,1,11,2022-09-16,,,0,22.96,84.91,429.21,23.03,
강원,철원,완숙토마토,1,11,2022-09-17,,,0,23.79,89.2,471.54,23.62,
강원,철원,완숙토마토,1,11,2022-09-18,,,0,24.2,81.98,440.46,24.36,
강원,철원,완숙토마토,1,11,2022-09-19,,,0,21.0,75.75,424.54,21.6,
강원,철원,완숙토마토,1,11,2022-09-20,,,0,17.88,73.82,496.5,18.71,
강원,철원,완숙토마토,1,11,2022-09-21,,,0,16.93,72.87,512.92,17.84,
강원,철원,완숙토마토,1,11,2022-09-22,,,0,17.43,77.98,520.21,18.07,
강원,철원,완숙토마토,1,11,2022-09-23,,,0,17.65,84.28,532.67,17.97,
강원,철원,완숙토마토,1,11,2022-09-24,,,0,17.02,78.16,517.63,17.67,
강원,철원,완숙토마토,1,11,2022-09-25,,,0,17.47,78.64,536.67,18.08,
강원,철원,완숙토마토,1,11,2022-09-26,,,0,17.36,77.65,557.63,18.02,
강원,철원,완숙토마토,1,11,2022-09-27,,,0,17.72,75.48,560.75,18.47,
