"날짜","2023.03.23","2023.03.24","2023.03.25","2023.03.26","2023.03.27","2023.03.28","2023.03.30","2023.03.31","2023.04.01","2023.04.02"
"반입량","64.0000000000000000","40.0000000000000000","37.0000000000000000","43.0000000000000000","35.0000000000000000","39.0000000000000000","50.0000000000000000","40.0000000000000000",,
"도매가격(특)",,,,,,,,,,
"도매가격(상)","21318","23813","22424","23981","22507","24301","23684","24056","22157","22653"
"도매가격(중)","19035","21147","19610","19873","20126","22181","21103","20492","19943","20154"
"도매가격(하)","15694","17339","16296","14615","16715","16223","16675","16412","16499","15463"
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
